epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7402,1.45519,3.13443,1.2848,0.65214,0.22145,0.44329,0.19957,1.42613,3.36768,1.17827,0.000654088,0.000654088,0.000654088
2,41.5552,1.52548,2.45723,1.32978,0.33709,0.40157,0.27141,0.11536,1.68973,3.24164,1.40029,0.0012946,0.0012946,0.0012946
3,57.822,1.57681,2.23419,1.36707,0.66718,0.55247,0.69199,0.32676,1.64244,2.5609,1.51163,0.00190872,0.00190872,0.00190872
4,73.0896,1.58547,2.03305,1.39931,0.08449,0.33858,0.08494,0.03589,1.71562,6.21683,1.47871,0.0018812,0.0018812,0.0018812
5,87.2293,1.6029,1.9383,1.39228,0.81902,0.7127,0.80908,0.39667,1.5995,1.56945,1.40498,0.0018416,0.0018416,0.0018416
6,103.384,1.59041,1.79144,1.38344,0.18804,0.47244,0.20248,0.09283,1.75152,3.89639,1.59424,0.001802,0.001802,0.001802
7,119.389,1.5839,1.61002,1.40877,0.74818,0.66142,0.75078,0.38598,1.59404,2.03754,1.38227,0.0017624,0.0017624,0.0017624
8,135.684,1.54331,1.58141,1.36194,0.73754,0.84085,0.78674,0.40879,1.55916,1.82001,1.34964,0.0017228,0.0017228,0.0017228
9,152.424,1.50176,1.38857,1.33814,0.84419,0.7874,0.87705,0.45879,1.58193,1.29391,1.36082,0.0016832,0.0016832,0.0016832
10,168.305,1.49162,1.27292,1.32561,0.9065,0.83979,0.93119,0.4902,1.54723,1.10671,1.35025,0.0016436,0.0016436,0.0016436
11,182.056,1.50757,1.2761,1.34525,0.80265,0.84252,0.86681,0.45215,1.52811,1.12165,1.37241,0.001604,0.001604,0.001604
12,197.789,1.4378,1.15983,1.3052,0.91682,0.85039,0.93448,0.5071,1.48019,1.11832,1.34578,0.0015644,0.0015644,0.0015644
13,213.993,1.42394,1.11398,1.30716,0.84218,0.90551,0.91878,0.51958,1.46502,1.0413,1.29857,0.0015248,0.0015248,0.0015248
