epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.283,1.22044,1.63109,1.23356,0.94988,0.89781,0.94766,0.61806,1.21203,0.84157,1.19175,0.00333082,0.00333082,0.00333082
2,232.527,1.22536,0.86086,1.20756,0.95732,0.88383,0.9449,0.6064,1.27879,0.73282,1.24191,0.00659817,0.00659817,0.00659817
3,341.171,1.27834,0.82945,1.25778,0.92908,0.85507,0.90905,0.55359,1.38129,0.79654,1.3552,0.00979953,0.00979953,0.00979953
4,448.786,1.28191,0.80548,1.28139,0.90598,0.89494,0.93622,0.60973,1.24859,0.69168,1.26734,0.009703,0.009703,0.009703
5,557.443,1.24857,0.7529,1.26599,0.96715,0.92508,0.9602,0.61478,1.29833,0.61044,1.27938,0.009604,0.009604,0.009604
6,665.211,1.22814,0.715,1.25295,0.95918,0.93152,0.96427,0.60959,1.30394,0.58203,1.28026,0.009505,0.009505,0.009505
7,773.163,1.20478,0.69062,1.24075,0.96151,0.9256,0.96274,0.62488,1.25389,0.56771,1.2462,0.009406,0.009406,0.009406
8,881.28,1.19185,0.67038,1.23253,0.95727,0.92683,0.96186,0.64187,1.21837,0.56247,1.2274,0.009307,0.009307,0.009307
9,989.114,1.17554,0.64657,1.21409,0.97649,0.93527,0.97514,0.64385,1.22409,0.50958,1.21532,0.009208,0.009208,0.009208
10,1097.68,1.15745,0.62929,1.20228,0.97466,0.93815,0.9728,0.64469,1.24549,0.51139,1.22716,0.009109,0.009109,0.009109
11,1205.59,1.15179,0.61756,1.20133,0.97216,0.93348,0.96819,0.66248,1.18602,0.50556,1.2055,0.00901,0.00901,0.00901
12,1313.56,1.14664,0.61114,1.1977,0.97528,0.93809,0.97321,0.66701,1.17062,0.48026,1.18543,0.008911,0.008911,0.008911
13,1424.21,1.1351,0.60155,1.19146,0.97927,0.94325,0.97808,0.66095,1.1873,0.47662,1.19099,0.008812,0.008812,0.008812
14,1534.07,1.13147,0.59061,1.18909,0.97386,0.94371,0.97459,0.66677,1.17689,0.46101,1.18381,0.008713,0.008713,0.008713
15,1642.8,1.12662,0.58202,1.18399,0.96802,0.94841,0.97436,0.67928,1.14869,0.45784,1.17326,0.008614,0.008614,0.008614
16,1751.61,1.11538,0.57287,1.17818,0.97195,0.9425,0.97391,0.67183,1.17463,0.45604,1.18317,0.008515,0.008515,0.008515
17,1860.66,1.11687,0.57345,1.17475,0.97388,0.94934,0.97925,0.67489,1.15342,0.4435,1.16658,0.008416,0.008416,0.008416
18,1969.56,1.10244,0.56306,1.17154,0.97317,0.94934,0.97662,0.6842,1.1315,0.43743,1.16269,0.008317,0.008317,0.008317
19,2077.93,1.10485,0.55793,1.16594,0.9729,0.95544,0.97873,0.68507,1.13971,0.4327,1.16472,0.008218,0.008218,0.008218
20,2186.59,1.09782,0.55273,1.16338,0.97768,0.9545,0.98084,0.68488,1.13893,0.42596,1.15695,0.008119,0.008119,0.008119
21,2295.18,1.09681,0.55051,1.16259,0.97229,0.96013,0.98175,0.69566,1.11533,0.41919,1.14872,0.00802,0.00802,0.00802
22,2403.07,1.08903,0.54433,1.15836,0.97264,0.95966,0.98058,0.69421,1.11536,0.41771,1.14758,0.007921,0.007921,0.007921
23,2511.53,1.08445,0.53786,1.15485,0.97674,0.95826,0.98206,0.69388,1.12648,0.4151,1.15216,0.007822,0.007822,0.007822
24,2619.33,1.08173,0.53588,1.15862,0.97559,0.95966,0.98207,0.69462,1.12385,0.41055,1.15032,0.007723,0.007723,0.007723
25,2726.74,1.07669,0.52977,1.15368,0.97615,0.95974,0.98158,0.69987,1.10988,0.40465,1.14735,0.007624,0.007624,0.007624
26,2834.7,1.07437,0.52949,1.15216,0.97817,0.96665,0.9839,0.70153,1.10449,0.39708,1.13999,0.007525,0.007525,0.007525
27,2943.8,1.06716,0.52908,1.14773,0.98098,0.96154,0.98233,0.70012,1.1067,0.40232,1.14037,0.007426,0.007426,0.007426
